2019-04-15 09:24:50.701 INFO  Job:39 - A car has entered at 9 hours 24 minute and parked in parking space Car_0. Remaining parking spaces for car is 19
2019-04-15 09:24:50.703 INFO  Job:36 - The car parked at parking space Car_0 has left at 9 hour 24 minute. Total time parked is 0 hours 1 minutes, for a total parking fee of 30. Available parking spaces for car is 20
2019-04-15 09:24:50.704 INFO  Job:39 - A motorcycle has entered at 9 hours 24 minute and parked in parking space Motorcycle_0. Remaining parking spaces for motorcycle is 14
2019-04-15 09:25:00.701 INFO  CarPark:104 - Available parking slots for motorcycles: 14, for cars: 20, for small buses: 5
2019-04-15 09:25:10.702 INFO  Job:36 - The motorcycle parked at parking space Motorcycle_0 has left at 9 hour 25 minute. Total time parked is 0 hours 20 minutes, for a total parking fee of 10. Available parking spaces for motorcycle is 15
2019-04-15 09:25:10.704 INFO  Job:39 - A smallbus has entered at 9 hours 25 minute and parked in parking space SmallBus_0. Remaining parking spaces for smallbus is 4
2019-04-15 09:25:15.701 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 4
2019-04-15 09:25:20.703 INFO  Job:36 - The smallbus parked at parking space SmallBus_0 has left at 9 hour 25 minute. Total time parked is 0 hours 10 minutes, for a total parking fee of 40. Available parking spaces for smallbus is 5
2019-04-15 09:25:30.715 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
2019-04-15 09:25:30.718 INFO  Job:39 - A motorcycle has entered at 9 hours 25 minute and parked in parking space Motorcycle_0. Remaining parking spaces for motorcycle is 14
2019-04-15 09:25:30.719 INFO  Job:39 - A car has entered at 9 hours 25 minute and parked in parking space Car_0. Remaining parking spaces for car is 19
2019-04-15 09:25:40.701 INFO  Job:36 - The motorcycle parked at parking space Motorcycle_0 has left at 9 hour 25 minute. Total time parked is 0 hours 10 minutes, for a total parking fee of 10. Available parking spaces for motorcycle is 15
2019-04-15 09:25:40.704 INFO  Job:36 - The car parked at parking space Car_0 has left at 9 hour 25 minute. Total time parked is 0 hours 10 minutes, for a total parking fee of 30. Available parking spaces for car is 20
2019-04-15 09:25:45.708 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
2019-04-15 09:25:50.703 INFO  Job:39 - A motorcycle has entered at 9 hours 25 minute and parked in parking space Motorcycle_0. Remaining parking spaces for motorcycle is 14
2019-04-15 09:25:50.703 INFO  Job:39 - A motorcycle has entered at 9 hours 25 minute and parked in parking space Motorcycle_1. Remaining parking spaces for motorcycle is 13
2019-04-15 09:26:00.708 INFO  CarPark:104 - Available parking slots for motorcycles: 13, for cars: 20, for small buses: 5
2019-04-15 09:26:00.710 INFO  Job:36 - The motorcycle parked at parking space Motorcycle_0 has left at 9 hour 26 minute. Total time parked is 0 hours 11 minutes, for a total parking fee of 10. Available parking spaces for motorcycle is 14
2019-04-15 09:26:10.704 INFO  Job:36 - The motorcycle parked at parking space Motorcycle_1 has left at 9 hour 26 minute. Total time parked is 0 hours 21 minutes, for a total parking fee of 10. Available parking spaces for motorcycle is 15
2019-04-15 09:26:15.714 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
2019-04-15 09:26:30.712 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
2019-04-15 09:26:30.713 INFO  Job:39 - A motorcycle has entered at 9 hours 26 minute and parked in parking space Motorcycle_0. Remaining parking spaces for motorcycle is 14
2019-04-15 09:26:30.714 INFO  Job:39 - A motorcycle has entered at 9 hours 26 minute and parked in parking space Motorcycle_1. Remaining parking spaces for motorcycle is 13
2019-04-15 09:26:40.708 INFO  Job:36 - The motorcycle parked at parking space Motorcycle_0 has left at 9 hour 26 minute. Total time parked is 0 hours 10 minutes, for a total parking fee of 10. Available parking spaces for motorcycle is 14
2019-04-15 09:26:40.708 INFO  Job:36 - The motorcycle parked at parking space Motorcycle_1 has left at 9 hour 26 minute. Total time parked is 0 hours 10 minutes, for a total parking fee of 10. Available parking spaces for motorcycle is 15
2019-04-15 09:26:45.701 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
2019-04-15 09:26:50.711 INFO  Job:39 - A car has entered at 9 hours 26 minute and parked in parking space Car_0. Remaining parking spaces for car is 19
2019-04-15 09:26:50.711 INFO  Job:39 - A car has entered at 9 hours 26 minute and parked in parking space Car_1. Remaining parking spaces for car is 18
2019-04-15 09:27:00.707 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 18, for small buses: 5
2019-04-15 09:27:00.707 INFO  Job:36 - The car parked at parking space Car_0 has left at 9 hour 27 minute. Total time parked is 0 hours 10 minutes, for a total parking fee of 30. Available parking spaces for car is 19
2019-04-15 09:27:00.707 INFO  Job:36 - The car parked at parking space Car_1 has left at 9 hour 27 minute. Total time parked is 0 hours 10 minutes, for a total parking fee of 30. Available parking spaces for car is 20
2019-04-15 09:27:10.706 INFO  Job:39 - A car has entered at 9 hours 27 minute and parked in parking space Car_0. Remaining parking spaces for car is 19
2019-04-15 09:27:10.708 INFO  Job:39 - A motorcycle has entered at 9 hours 27 minute and parked in parking space Motorcycle_0. Remaining parking spaces for motorcycle is 14
2019-04-15 09:27:10.709 INFO  Job:36 - The car parked at parking space Car_0 has left at 9 hour 27 minute. Total time parked is 0 hours 1 minutes, for a total parking fee of 30. Available parking spaces for car is 20
2019-04-15 09:27:15.709 INFO  CarPark:104 - Available parking slots for motorcycles: 14, for cars: 20, for small buses: 5
2019-04-15 09:27:30.701 INFO  CarPark:104 - Available parking slots for motorcycles: 14, for cars: 20, for small buses: 5
2019-04-15 09:27:30.702 INFO  Job:36 - The motorcycle parked at parking space Motorcycle_0 has left at 9 hour 27 minute. Total time parked is 0 hours 20 minutes, for a total parking fee of 10. Available parking spaces for motorcycle is 15
2019-04-15 09:27:45.702 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
2019-04-15 09:27:50.701 INFO  Job:39 - A motorcycle has entered at 9 hours 27 minute and parked in parking space Motorcycle_0. Remaining parking spaces for motorcycle is 14
2019-04-15 09:27:50.709 INFO  Job:39 - A car has entered at 9 hours 27 minute and parked in parking space Car_0. Remaining parking spaces for car is 19
2019-04-15 09:28:00.700 INFO  Job:36 - The car parked at parking space Car_0 has left at 9 hour 28 minute. Total time parked is 0 hours 10 minutes, for a total parking fee of 30. Available parking spaces for car is 20
2019-04-15 09:28:00.701 INFO  CarPark:104 - Available parking slots for motorcycles: 14, for cars: 20, for small buses: 5
2019-04-15 09:28:10.703 INFO  Job:36 - The motorcycle parked at parking space Motorcycle_0 has left at 9 hour 28 minute. Total time parked is 0 hours 21 minutes, for a total parking fee of 10. Available parking spaces for motorcycle is 15
2019-04-15 09:28:15.706 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
2019-04-15 09:28:30.701 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
2019-04-15 09:28:45.708 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
2019-04-15 09:28:50.701 INFO  Job:39 - A motorcycle has entered at 9 hours 28 minute and parked in parking space Motorcycle_0. Remaining parking spaces for motorcycle is 14
2019-04-15 09:29:00.706 INFO  CarPark:104 - Available parking slots for motorcycles: 14, for cars: 20, for small buses: 5
2019-04-15 09:29:00.707 INFO  Job:36 - The motorcycle parked at parking space Motorcycle_0 has left at 9 hour 29 minute. Total time parked is 0 hours 11 minutes, for a total parking fee of 10. Available parking spaces for motorcycle is 15
2019-04-15 09:29:10.715 INFO  Job:39 - A smallbus has entered at 9 hours 29 minute and parked in parking space SmallBus_0. Remaining parking spaces for smallbus is 4
2019-04-15 09:29:15.704 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 4
2019-04-15 09:29:20.702 INFO  Job:36 - The smallbus parked at parking space SmallBus_0 has left at 9 hour 29 minute. Total time parked is 0 hours 10 minutes, for a total parking fee of 40. Available parking spaces for smallbus is 5
2019-04-15 09:29:30.704 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
2019-04-15 09:29:45.701 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
2019-04-15 09:29:50.701 INFO  Job:39 - A smallbus has entered at 9 hours 29 minute and parked in parking space SmallBus_0. Remaining parking spaces for smallbus is 4
2019-04-15 09:29:50.703 INFO  Job:36 - The smallbus parked at parking space SmallBus_0 has left at 9 hour 29 minute. Total time parked is 0 hours 1 minutes, for a total parking fee of 40. Available parking spaces for smallbus is 5
2019-04-15 09:30:00.701 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
2019-04-15 09:30:15.701 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
2019-04-15 09:30:30.702 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
2019-04-15 09:30:30.702 INFO  Job:39 - A smallbus has entered at 9 hours 30 minute and parked in parking space SmallBus_0. Remaining parking spaces for smallbus is 4
2019-04-15 09:30:40.701 INFO  Job:36 - The smallbus parked at parking space SmallBus_0 has left at 9 hour 30 minute. Total time parked is 0 hours 10 minutes, for a total parking fee of 40. Available parking spaces for smallbus is 5
2019-04-15 09:30:45.702 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 20, for small buses: 5
2019-04-15 09:30:50.702 INFO  Job:39 - A car has entered at 9 hours 30 minute and parked in parking space Car_0. Remaining parking spaces for car is 19
2019-04-15 09:31:00.702 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 19, for small buses: 5
2019-04-15 09:31:10.701 INFO  Job:39 - A car has entered at 9 hours 31 minute and parked in parking space Car_1. Remaining parking spaces for car is 18
2019-04-15 09:31:15.701 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 18, for small buses: 5
2019-04-15 09:31:20.700 INFO  Job:36 - The car parked at parking space Car_0 has left at 9 hour 31 minute. Total time parked is 0 hours 30 minutes, for a total parking fee of 30. Available parking spaces for car is 19
2019-04-15 09:31:30.701 INFO  Job:39 - A smallbus has entered at 9 hours 31 minute and parked in parking space SmallBus_0. Remaining parking spaces for smallbus is 4
2019-04-15 09:31:30.702 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 19, for small buses: 4
2019-04-15 09:31:30.703 INFO  Job:39 - A smallbus has entered at 9 hours 31 minute and parked in parking space SmallBus_1. Remaining parking spaces for smallbus is 3
2019-04-15 09:31:40.700 INFO  Job:36 - The smallbus parked at parking space SmallBus_1 has left at 9 hour 31 minute. Total time parked is 0 hours 10 minutes, for a total parking fee of 40. Available parking spaces for smallbus is 4
2019-04-15 09:31:45.702 INFO  CarPark:104 - Available parking slots for motorcycles: 15, for cars: 19, for small buses: 4
2019-04-15 09:31:50.700 INFO  Job:36 - The car parked at parking space Car_1 has left at 9 hour 31 minute. Total time parked is 0 hours 40 minutes, for a total parking fee of 30. Available parking spaces for car is 20
2019-04-15 09:31:50.701 INFO  Job:39 - A smallbus has entered at 9 hours 31 minute and parked in parking space SmallBus_1. Remaining parking spaces for smallbus is 3
2019-04-15 09:31:50.702 INFO  Job:39 - A motorcycle has entered at 9 hours 31 minute and parked in parking space Motorcycle_0. Remaining parking spaces for motorcycle is 14
2019-04-15 09:32:00.701 INFO  Job:36 - The smallbus parked at parking space SmallBus_0 has left at 9 hour 32 minute. Total time parked is 0 hours 31 minutes, for a total parking fee of 40. Available parking spaces for smallbus is 4
2019-04-15 09:32:00.702 INFO  CarPark:104 - Available parking slots for motorcycles: 14, for cars: 20, for small buses: 4
2019-04-15 09:32:10.701 INFO  Job:39 - A smallbus has entered at 9 hours 32 minute and parked in parking space SmallBus_0. Remaining parking spaces for smallbus is 3
2019-04-15 09:32:10.702 INFO  Job:36 - The motorcycle parked at parking space Motorcycle_0 has left at 9 hour 32 minute. Total time parked is 0 hours 20 minutes, for a total parking fee of 10. Available parking spaces for motorcycle is 15
